jdoe,2025-05-01,09:00,17:05,09:00,17:00
jdoe,2025-05-02,09:10,17:00,09:00,17:00
jdoe,2025-05-03,09:05,17:20,09:00,17:00
jsmith,2025-05-01,08:55,17:10,09:00,17:00
jsmith,2025-05-02,09:00,16:50,09:00,17:00
jsmith,2025-05-03,09:15,17:30,09:00,17:00
ajohnson,2025-05-01,09:00,17:00,09:00,17:00
ajohnson,2025-05-02,09:25,17:05,09:00,17:00
ajohnson,2025-05-03,09:10,17:15,09:00,17:00
bwilliams,2025-05-01,09:00,17:00,09:00,17:00
bwilliams,2025-05-02,09:05,17:10,09:00,17:00
bwilliams,2025-05-03,09:15,17:25,09:00,17:00
cbrown,2025-05-01,08:50,17:00,09:00,17:00
cbrown,2025-05-02,09:00,17:00,09:00,17:00
cbrown,2025-05-03,09:20,17:30,09:00,17:00
djones,2025-05-01,09:00,17:00,09:00,17:00
djones,2025-05-02,09:10,17:05,09:00,17:00
edavis,2025-05-01,09:05,17:10,09:00,17:00
edavis,2025-05-02,09:00,17:00,09:00,17:00
edavis,2025-05-03,09:10,17:20,09:00,17:00
fmiller,2025-05-01,09:00,17:00,08:00,17:00
gwilson,2025-05-02,09:00,17:00,09:00,17:00
hmoore,2025-05-01,08:55,17:15,09:00,17:00
hmoore,2025-05-02,09:00,17:00,09:00,17:00
hmoore,2025-05-03,09:05,17:10,09:00,17:00
spiderman,2025-05-08,09:13,09:13,09:00,17:00
hazdav,2025-05-08,09:33,09:36,07:30,17:00
hazdav,2025-05-11,08:55,17:08,09:00,16:00
hazdav,2025-05-14,13:49,13:49,09:00,17:00
thommy,2025-05-10,08:18,08:21,09:00,17:00
queens,2025-05-14,12:25,13:48,09:00,17:00
queens,2025-05-15,05:38,05:46,09:00,17:00
